policy,episodes,success_rate,mean_return,mean_steps
random,30,0.3,0.1476,43.46666666666667
wm_no_vlm,30,0.7,0.4774,27.366666666666667
wm_vlm,30,0.7333333333333333,0.4387333333333333,29.7
